0,1,2,3,4,5,6,7,8,9,10,11,12,13
99,0,0,101,1,680,10,220,88.3,47.867,22,1.54,658.8,147
98,0,0,101,2,650,10,229,83.2,26.982,13,1.61,577.5,118
94,0,0,101,6,650,10,202,80.5,26.982,13,1.61,577.5,118
98.6,0,0,101,1.4,650,10,211,89,91.224,40,1.33,640.1,160
90,7,3,101,1,730,10,210,97.62,180.94788,73,1.5,761,146
90,10,0,101,1,730,10,190,92.1,180.94788,73,1.5,761,146
90,0,10,101,1,730,10,210,85.71,26.982,13,1.61,577.5,118
90,0,10,101,1,750,10,210,76.19,26.982,13,1.61,577.5,118
90,0,10,101,1,790,10,185,70.27,26.982,13,1.61,577.5,118
90,0,10,101,1,850,10,175,74.29,26.982,13,1.61,577.5,118
90,0,10,101,1,900,10,205,96,180.94788,73,1.5,761,146
90,0,10,101,1,850,10,185,78.38,180.94788,73,1.5,761,146
84,6,10,105,0.005,760,15,229.5,88.1,50.9415,23,1.63,650.9,134
84,6,10,105,0.01,760,15,228.6,85.5,50.9415,23,1.63,650.9,134
84,6,10,105,0.02,760,15,226.1,85.2,50.9415,23,1.63,650.9,134
94,0,6,103,2,680,12,205,97.56,26.982,13,1.61,577.5,118
85,5,10,103,1,760,6,180,95,183.84,74,2.36,770,139
85,5,10,103,1,900,6,180,96,183.84,74,2.36,770,139
50,20,30,105,0.01,700,12,160,90,26.982,13,1.61,577.5,118
100,0,0,103,1,750,16,180,97.2,92.90638,41,1.6,652.1,146
80,10,10,101,5,800,15,187,74.86,22.99,11,0.93,495.8,186
80,10,10,101,10,800,15,191,82.73,22.99,11,0.93,495.8,186
80,10,10,101,15,800,15,179,66.48,22.99,11,0.93,495.8,186
80,20,0,103,1,700,8,187,75,26.982,13,1.61,577.5,118
80,1,1,103,1,800,10,163,80,10.81,5,2.04,800.6,87
80,1,1,103,2,800,10,165,88,10.81,5,2.04,800.6,87
80,1,1,103,3,800,10,162,85,10.81,5,2.04,800.6,87
80,1,1,103,4,800,10,158,83,10.81,5,2.04,800.6,87
90,10,0,103,1,730,12,186,82,24.305,12,1.31,737.7,145
90,10,0,103,1,730,12,201,84,55.845,26,1.83,762.5,126
92,4,4,103,0.4,750,12,232.6,89.3,26.982,13,1.61,577.5,118
92,4,4,103,0.8,750,12,233.4,98.3,92.90638,41,1.6,652.1,146
85,0,15,105,5,750,12,190,99,26.982,13,1.61,577.5,118
80,10,10,105,0.5,750,15,185.7,92.3,22.99,11,0.93,495.8,186
80,10,10,105,1,750,15,187.9,95.4,22.99,11,0.93,495.8,186
80,10,10,105,2,750,15,186.3,89.8,22.99,11,0.93,495.8,186
60,35,5,105,2,870,10,185,93.3,22.99,11,0.93,495.8,186
83,5,12,105,0.72,750,10,197,83.3,24.305,12,1.31,737.7,145
83,5,12,105,0.96,750,10,199.7,87.2,24.305,12,1.31,737.7,145
83,5,12,105,1.2,750,10,195.9,83.7,24.305,12,1.31,737.7,145
83,5,12,105,1.45,750,10,191.4,84.3,24.305,12,1.31,737.7,145
60,20,20,105,1,850,10,193,91.8,47.867,22,1.54,658.8,147
80,10,10,105,0.05,900,10,214.9,91.62,47.867,22,1.54,658.8,147
80,10,10,105,1,900,10,180.7,88.71,47.867,22,1.54,658.8,147
90,5,5,101,0.05,750,20,194.3,72.1,65.38,30,1.65,906.4,131
90,5,5,101,0.5,750,20,190.4,91.7,65.38,30,1.65,906.4,131
90,5,0,101,5,750,20,170.2,83.3,65.38,30,1.65,906.4,131
94,3,3,103,0.25,680,24,238.3,85.19,10.81,5,2.04,800.6,87
90,5,5,108,1,775,6,216.5,85.8,95.95,42,2.16,684.3,139
92,4,4,108,0.25,780,10,190.89,87.32,183.84,74,2.36,770,139
92,4,4,108,0.5,780,10,190.5,91.14,183.84,74,2.36,770,139
92,4,4,108,1,780,10,190.1,93.97,183.84,74,2.36,770,139
92,4,4,108,2,780,10,189.72,88.43,183.84,74,2.36,770,139
60,20,20,103,2,780,18,195.65,93.2,10.81,5,2.04,800.6,87
60,20,20,103,2,780,18,190.45,93.2,47.867,22,1.54,658.8,147
60,20,20,103,2,780,18,214.65,93.2,91.224,40,1.33,640.1,160
85,5,15,105,0.5,740,15,184.9,84.07,24.305,12,1.31,737.7,145
85,5,15,105,1,740,15,182.4,85.95,24.305,12,1.31,737.7,145
85,5,15,105,3,740,15,180.9,83.67,24.305,12,1.31,737.7,145
85,5,15,105,5,740,15,163.8,82.3,24.305,12,1.31,737.7,145
100,0,0,101,1,650,10,235.2,77.7,26.982,13,1.61,577.5,118
100,0,0,101,1,680,10,230,74.1,26.982,13,1.61,577.5,118
100,0,0,101,1,700,10,218.4,73.5,26.982,13,1.61,577.5,118
100,0,0,101,1,730,10,214,54.1,26.982,13,1.61,577.5,118
100,0,0,101,1,750,10,206.2,44.1,26.982,13,1.61,577.5,118
100,0,0,101,1,650,10,235.6,81.1,92.90638,41,1.6,652.1,146
100,0,0,101,1,680,10,227.8,81.6,92.90638,41,1.6,652.1,146
100,0,0,101,1,700,10,230.1,83.1,92.90638,41,1.6,652.1,146
100,0,0,101,1,730,10,224.6,81.4,92.90638,41,1.6,652.1,146
100,0,0,101,1,750,10,226,80.9,92.90638,41,1.6,652.1,146
100,0,0,101,1,770,10,215.4,80.7,92.90638,41,1.6,652.1,146
100,0,0,101,1,800,10,208.1,67.6,92.90638,41,1.6,652.1,146
100,0,0,101,3,650,10,235.4,84.9,180.94788,73,1.5,761,146
100,0,0,101,3,680,10,239.6,85.4,180.94788,73,1.5,761,146
100,0,0,101,3,700,10,234.8,87,180.94788,73,1.5,761,146
100,0,0,101,3,730,10,237.8,84.2,180.94788,73,1.5,761,146
100,0,0,101,3,750,10,229.1,82.5,180.94788,73,1.5,761,146
100,0,0,101,3,770,10,207.5,80,180.94788,73,1.5,761,146
100,0,0,101,3,800,10,199.8,63.9,180.94788,73,1.5,761,146
100,0,0,101,1,650,10,230.4,79.8,95.95,42,2.16,684.3,139
100,0,0,101,1,680,10,236.5,83.1,95.95,42,2.16,684.3,139
100,0,0,101,1,700,10,232.4,82.7,95.95,42,2.16,684.3,139
100,0,0,101,1,730,10,231.9,81.5,95.95,42,2.16,684.3,139
100,0,0,101,1,750,10,221.8,77.6,95.95,42,2.16,684.3,139
100,0,0,101,1,770,10,224.7,77.1,95.95,42,2.16,684.3,139
100,0,0,101,1,800,10,220.6,75.3,95.95,42,2.16,684.3,139
90,4,5,102,1,750,12,185,95,24.305,12,1.31,737.7,145
90,3.5,5,102,1,750,12,194,96,24.305,12,1.31,737.7,145
90,3,5,102,1,750,12,175,97,24.305,12,1.31,737.7,145
90,5,4,102,1,750,12,179,98,24.305,12,1.31,737.7,145
80,4,4,105,2,800,10,173.8,92,91.224,40,1.33,640.1,160
90,5,5,103,3,730,10,200,96.6,121.76,51,2.05,834,140
90,5,5,102,5,720,15,182,84,26.982,13,1.61,577.5,118
80,15,5,105,1,750,12,184.6,90.71,22.99,11,0.93,495.8,186
80,15,5,105,2,750,12,183.4,88.65,22.99,11,0.93,495.8,186
80,15,5,105,5,750,12,181.8,87.42,22.99,11,0.93,495.8,186
90,5,5,105,1,750,12,194.4,95.5,18.998,9,3.98,1681,64
90,5,5,105,2,750,12,190,90,18.998,9,3.98,1681,64
90,5,5,105,4,750,12,180,85,18.998,9,3.98,1681,64
70,30,0,102,2,800,10,190,86.8,35.453,17,3.16,1251.2,99
80,1,1,105,2,800,12,149.52,78.06,40.078,20,1,589.8,194
80,1,1,105,4,800,12,151.19,77.74,40.078,20,1,589.8,194
80,1,1,105,6,800,12,150.2,81.1,40.078,20,1,589.8,194
80,1,1,105,8,800,12,141.91,67.37,40.078,20,1,589.8,194
80,1,1,105,1,780,12,203.6,76,24.305,12,1.31,737.7,145
80,1,1,105,3,780,12,226.1,81,24.305,12,1.31,737.7,145
80,1,1,105,5,780,12,181.1,90,24.305,12,1.31,737.7,145
80,1,1,105,6,780,12,168.8,74,24.305,12,1.31,737.7,145
81.5,15,3.5,105,0.5,750,12,191.8,92,91.224,40,1.33,640.1,160
